App Version 1.x.x Use Cases,,
,,
Use case ,Pass/Fail,Comments
User should be able to sign up,,
User should be able to login ,,
User should be able to make purchase,,
Trail version should work ,,
Should able to send messages,,
Should able to initiate call,,
Should able to hire ,,
Should able to schedule,,
